student_id,age,gender,region,parent_education,average_grade,absenteeism_rate,assignments_submitted,moodle_hours,forum_posts,satisfaction_score,dropout,gender_encoded,region_encoded,parent_education_encoded,dropout_encoded,cluster
177,25,Female,Kara,Secondary,7.04,0.0,63.93,9.94,4,5.8,No,0,2,2,0,3
178,22,Male,Atakpame,Secondary,13.57,3.54,42.87,6.11,3,4.3,Yes,1,0,2,1,1
179,32,Female,Atakpame,Higher,5.98,3.52,57.48,0.4,7,8.6,Yes,0,0,0,1,2
180,19,Female,Tsevie,Secondary,12.94,7.49,91.64,23.42,3,5.1,No,0,6,2,0,3
181,20,Female,Dapaong,Secondary,12.77,15.12,87.76,32.47,5,8.7,No,0,1,2,0,0
182,19,Male,Dapaong,Higher,12.57,6.74,78.58,23.79,6,1.1,Yes,1,1,0,1,2
183,23,Male,Atakpame,Primary,9.8,0.0,45.13,2.14,2,8.3,No,1,0,1,0,2
184,25,Male,Dapaong,,13.65,19.63,92.97,4.05,6,1.3,Yes,1,1,3,1,1
185,17,Male,Lome,Secondary,13.17,15.49,72.07,31.18,4,8.8,No,1,3,2,0,1
186,24,Male,Tsevie,,11.37,19.09,69.67,1.13,5,9.6,No,1,6,3,0,1
187,23,Male,Lome,Primary,14.02,16.72,96.04,8.75,1,9.0,No,1,3,1,0,1
188,34,Male,Dapaong,Secondary,11.71,24.54,40.53,6.65,2,9.0,No,1,1,2,0,1
189,24,Female,Atakpame,Primary,13.59,14.25,73.35,1.65,1,6.0,No,0,0,1,0,3
190,17,Female,Lome,Secondary,11.62,25.13,87.47,21.77,3,9.5,No,0,3,2,0,0
191,27,Male,Kara,Higher,12.65,7.24,43.82,1.44,0,2.1,Yes,1,2,0,1,2
192,34,Female,Notse,Primary,13.72,7.81,61.43,8.98,3,2.0,No,0,4,1,0,3
193,26,Male,Atakpame,Primary,10.81,28.76,98.65,3.83,3,3.5,Yes,1,0,1,1,1
194,19,Male,Tsevie,Primary,8.3,28.56,52.71,5.41,4,5.9,Yes,1,6,1,1,1
195,23,Male,Sokode,Primary,12.83,20.74,71.87,2.37,2,2.5,Yes,1,5,1,1,2
196,32,Female,Sokode,,15.57,6.11,84.76,9.8,4,8.9,No,0,5,3,0,3
197,32,Male,Atakpame,,12.9,5.3,63.42,44.81,3,3.3,Yes,1,0,3,1,1
198,33,Male,Dapaong,Secondary,12.95,28.28,64.47,17.93,3,9.2,Yes,1,1,2,1,1
199,18,Male,Lome,Primary,11.87,27.73,43.8,11.5,5,3.6,Yes,1,3,1,1,2
200,17,Male,Lome,Secondary,14.22,14.36,51.41,14.12,1,2.2,Yes,1,3,2,1,1
201,32,Female,Atakpame,Higher,11.44,38.42,92.84,18.28,6,7.7,Yes,0,0,0,1,0
202,28,Male,Kara,Secondary,10.64,19.59,89.1,6.4,6,1.5,Yes,1,2,2,1,1
203,21,Female,Tsevie,Secondary,15.32,3.93,58.28,8.37,7,8.0,No,0,6,2,0,3
204,21,Female,Dapaong,Primary,10.41,12.24,62.9,22.58,3,9.4,No,0,1,1,0,0
205,25,Male,Kara,Secondary,14.67,15.05,66.42,11.91,0,3.1,Yes,1,2,2,1,1
206,25,Male,Atakpame,Primary,15.32,15.86,60.76,1.46,4,8.3,No,1,0,1,0,2
207,19,Female,Atakpame,,13.7,27.5,79.23,15.12,4,9.3,Yes,0,0,3,1,3
208,32,Female,Kara,Higher,8.25,5.44,40.77,0.23,1,3.9,Yes,0,2,0,1,2
209,32,Female,Sokode,Primary,12.08,1.68,92.81,18.81,3,8.0,No,0,5,1,0,3
210,19,Female,Atakpame,Primary,11.39,21.02,58.04,15.53,5,1.9,No,0,0,1,0,0
211,17,Male,Tsevie,Higher,10.51,9.93,92.34,17.76,5,8.8,No,1,6,0,0,2
212,27,Female,Notse,Higher,12.43,39.24,67.26,0.24,4,5.2,Yes,0,4,0,1,0
213,33,Female,Dapaong,Primary,14.31,24.43,86.58,35.92,2,3.2,Yes,0,1,1,1,0
214,24,Female,Kara,Primary,10.62,9.75,89.55,9.52,2,5.7,No,0,2,1,0,3
215,20,Female,Sokode,Secondary,11.49,27.13,58.08,16.1,3,3.3,Yes,0,5,2,1,0
216,22,Male,Kara,Secondary,11.28,22.3,78.42,8.36,2,8.2,No,1,2,2,0,1
217,24,Male,Sokode,,15.49,21.34,76.44,4.15,4,3.9,Yes,1,5,3,1,1
218,19,Male,Sokode,Secondary,11.23,13.78,68.56,3.51,3,1.7,No,1,5,2,0,1
219,32,Female,Tsevie,Higher,8.3,19.2,68.17,0.72,3,1.3,Yes,0,6,0,1,0
220,19,Female,Dapaong,Primary,7.28,0.0,58.31,7.82,3,3.3,Yes,0,1,1,1,3
221,34,Male,Atakpame,Higher,13.09,28.17,58.61,1.55,5,5.8,No,1,0,0,0,2
222,30,Male,Sokode,Higher,9.72,0.0,72.89,8.38,1,6.7,Yes,1,5,0,1,2
223,34,Female,Atakpame,Primary,14.01,10.58,41.94,9.81,0,5.6,No,0,0,1,0,3
224,18,Male,Dapaong,Secondary,8.01,0.0,96.02,5.84,4,7.3,No,1,1,2,0,1
225,19,Female,Atakpame,Primary,10.38,9.99,79.0,1.7,3,7.1,No,0,0,1,0,3
226,32,Female,Tsevie,Secondary,8.01,14.26,66.61,5.67,4,6.2,Yes,0,6,2,1,3
227,25,Female,Tsevie,Secondary,13.3,3.03,43.71,21.09,2,7.1,No,0,6,2,0,3
228,20,Female,Lome,Primary,13.95,0.0,77.8,6.13,6,8.8,No,0,3,1,0,3
229,17,Female,Tsevie,Secondary,13.02,17.07,41.06,4.2,0,1.4,Yes,0,6,2,1,3
230,20,Female,Sokode,Higher,8.74,35.86,80.79,9.94,2,8.5,Yes,0,5,0,1,0
231,17,Male,Dapaong,Primary,9.76,11.49,44.35,9.65,2,4.2,Yes,1,1,1,1,2
232,30,Male,Tsevie,Primary,12.7,24.59,79.37,0.95,7,3.7,No,1,6,1,0,1
233,32,Male,Kara,,6.94,30.04,64.35,2.7,4,8.8,Yes,1,2,3,1,1
234,24,Female,Dapaong,Secondary,11.28,0.0,79.76,6.82,2,6.5,No,0,1,2,0,3
235,23,Male,Sokode,Higher,16.55,10.43,48.31,4.56,3,1.5,Yes,1,5,0,1,2
236,19,Female,Dapaong,Higher,11.46,2.24,47.04,3.86,1,2.7,Yes,0,1,0,1,2
237,33,Female,Tsevie,Secondary,7.53,6.94,54.85,5.9,3,9.4,Yes,0,6,2,1,3
238,17,Female,Kara,Secondary,10.18,32.02,64.69,3.43,3,4.7,Yes,0,2,2,1,0
239,32,Female,Lome,Primary,10.11,17.24,55.18,4.27,0,3.5,Yes,0,3,1,1,3
240,28,Male,Sokode,Primary,18.42,22.89,44.92,14.86,3,2.8,Yes,1,5,1,1,1
241,30,Male,Notse,Secondary,17.0,14.56,59.5,7.14,1,6.0,No,1,4,2,0,1
242,22,Male,Sokode,Secondary,14.19,2.89,82.35,20.62,3,9.7,No,1,5,2,0,1
243,22,Female,Dapaong,Secondary,10.97,21.78,74.99,29.67,2,2.2,Yes,0,1,2,1,3
244,29,Male,Notse,Higher,15.6,27.53,97.8,25.52,2,3.2,Yes,1,4,0,1,0
245,24,Male,Notse,Secondary,8.6,18.17,66.16,2.93,2,5.5,Yes,1,4,2,1,1
246,18,Male,Atakpame,Secondary,15.23,19.89,59.97,6.4,3,2.9,Yes,1,0,2,1,1
247,17,Female,Notse,Primary,14.78,2.65,81.62,7.66,2,10.0,No,0,4,1,0,3
248,31,Male,Atakpame,Higher,11.55,22.07,64.72,19.12,4,4.7,Yes,1,0,0,1,2
249,17,Female,Notse,Secondary,15.42,28.46,77.1,8.19,4,5.0,No,0,4,2,0,0
250,21,Male,Kara,Higher,10.66,19.05,96.78,2.91,5,3.0,Yes,1,2,0,1,2
251,32,Female,Lome,Secondary,8.2,0.0,69.95,7.93,5,8.2,No,0,3,2,0,3
252,20,Male,Lome,Secondary,14.93,31.36,69.89,0.45,2,5.2,Yes,1,3,2,1,1
253,19,Male,Notse,Secondary,11.74,5.55,86.51,17.97,4,6.8,No,1,4,2,0,1
254,33,Male,Dapaong,Primary,13.81,18.88,85.36,8.35,3,2.6,No,1,1,1,0,1
255,33,Female,Dapaong,Secondary,17.46,24.53,70.97,10.55,3,2.2,Yes,0,1,2,1,0
256,28,Male,Atakpame,Higher,9.83,25.8,43.88,2.24,4,6.0,Yes,1,0,0,1,2
257,30,Male,Tsevie,Primary,11.57,0.0,98.85,8.17,3,2.6,Yes,1,6,1,1,2
258,22,Female,Lome,,16.71,16.17,62.64,7.56,3,5.6,No,0,3,3,0,3
259,19,Female,Tsevie,Secondary,14.01,15.51,59.0,9.67,2,10.0,No,0,6,2,0,3
260,25,Female,Lome,Primary,9.9,29.39,98.89,18.8,0,5.0,Yes,0,3,1,1,0
261,21,Female,Tsevie,Secondary,9.13,19.59,92.33,14.46,3,1.2,Yes,0,6,2,1,3
262,33,Male,Tsevie,Secondary,10.42,29.48,59.81,7.92,3,6.7,No,1,6,2,0,1
263,30,Male,Lome,Primary,9.78,20.4,58.5,22.39,1,3.3,No,1,3,1,0,1
264,19,Female,Kara,Higher,12.71,14.26,83.26,4.44,2,9.5,No,0,2,0,0,0
265,17,Male,Kara,Secondary,12.24,16.94,60.06,6.78,5,3.1,Yes,1,2,2,1,1
266,17,Female,Dapaong,Higher,12.84,30.24,55.09,10.48,1,9.4,Yes,0,1,0,1,0
267,19,Male,Tsevie,Secondary,9.48,2.03,98.78,5.81,5,1.2,Yes,1,6,2,1,1
268,34,Female,Tsevie,Higher,11.79,24.06,73.94,4.49,1,9.8,No,0,6,0,0,0
269,26,Male,Tsevie,,5.83,8.72,85.75,1.19,1,3.5,Yes,1,6,3,1,1
270,19,Female,Tsevie,Primary,12.44,6.58,82.78,10.1,5,8.0,No,0,6,1,0,3
