student_id,age,gender,region,parent_education,average_grade,absenteeism_rate,assignments_submitted,moodle_hours,forum_posts,satisfaction_score,dropout
59,24,Female,Kara,Primary,15.22,1.88,53.31,1.2,7,4.8,No
60,30,Male,Tsevie,Primary,13.14,4.33,65.35,1.14,2,6.1,No
61,24,Female,Kara,Secondary,11.17,19.09,85.3,3.8,3,6.6,No
62,32,Male,Tsevie,Primary,17.17,20.4,92.35,5.33,5,9.5,No
63,29,Female,Tsevie,Higher,11.19,35.78,56.39,4.68,3,9.4,Yes
64,34,Female,Dapaong,Higher,13.67,17.96,55.72,4.97,2,4.4,Yes
65,31,Male,Dapaong,None,11.5,14.6,59.66,19.07,1,9.1,No
66,29,Male,Dapaong,Higher,16.89,16.91,75.77,18.12,1,9.9,No
67,25,Female,Sokode,Secondary,12.26,30.9,56.71,16.37,2,8.9,No
68,31,Male,Sokode,Secondary,12.35,39.24,93.59,14.08,3,1.5,No
69,29,Male,Tsevie,Primary,11.58,13.15,98.68,0.41,0,3.9,Yes
70,17,Male,Atakpame,Secondary,12.59,20.43,80.75,1.62,6,2.0,Yes
71,23,Female,Kara,Primary,15.6,14.26,98.22,13.17,0,7.2,No
72,25,Male,Dapaong,Secondary,14.54,14.06,57.27,9.03,1,4.1,Yes
73,17,Female,Kara,None,12.08,33.79,88.91,11.21,5,2.7,Yes
74,28,Female,Notse,Secondary,17.1,5.74,80.71,12.62,2,2.9,Yes
75,24,Male,Tsevie,Primary,14.62,0.0,55.79,24.23,2,4.4,No
76,27,Female,Lome,None,10.69,18.17,59.1,10.08,2,6.4,Yes
77,33,Male,Tsevie,Secondary,7.86,27.01,69.32,3.22,3,7.1,Yes
78,24,Male,Sokode,Secondary,10.75,17.2,87.5,0.87,7,1.2,No
79,19,Female,Atakpame,Secondary,13.24,20.02,92.33,5.66,4,9.8,No
80,19,Female,Lome,None,13.79,22.52,78.04,12.37,3,1.4,No
81,17,Female,Kara,Higher,16.08,16.11,83.29,3.31,2,9.8,No
82,21,Female,Sokode,Secondary,8.72,20.56,55.83,1.28,1,3.4,Yes
83,26,Female,Dapaong,Primary,10.68,20.4,84.46,66.79,1,9.0,No
84,23,Male,Lome,Secondary,8.47,0.0,76.3,5.43,3,8.9,No
85,25,Female,Sokode,Secondary,7.98,16.14,53.38,2.44,10,5.4,No
86,23,Male,Kara,None,10.12,0.0,97.01,1.8,2,7.8,No
87,25,Male,Tsevie,Secondary,13.1,14.62,70.77,19.86,2,7.0,No
88,24,Female,Kara,Higher,14.31,10.05,87.67,17.13,3,8.4,No
89,28,Female,Lome,Secondary,9.15,25.34,71.54,9.5,2,6.0,Yes
90,18,Female,Lome,Primary,9.57,17.44,95.98,7.92,0,4.0,Yes
91,17,Female,Tsevie,Higher,6.66,19.73,48.48,30.25,8,4.8,No
92,32,Female,Lome,Primary,12.64,13.09,72.77,2.59,3,2.3,No
93,21,Male,Atakpame,Higher,9.8,25.52,41.51,5.37,3,3.6,No
94,19,Male,Dapaong,None,16.99,0.0,51.84,0.25,4,9.7,No
95,28,Male,Sokode,Secondary,13.23,6.04,56.86,5.42,3,4.9,Yes
96,24,Female,Tsevie,Secondary,11.49,27.86,68.36,4.85,2,7.4,No
97,19,Female,Kara,Primary,10.08,10.64,89.21,29.86,2,3.8,No
98,17,Male,Kara,Secondary,7.52,0.0,68.0,4.44,3,7.5,Yes
99,19,Female,Dapaong,Secondary,7.9,29.53,73.67,18.01,4,5.3,Yes
100,21,Female,Lome,None,10.13,25.77,95.44,14.55,1,8.1,No
101,31,Female,Lome,Secondary,9.9,22.11,85.39,1.59,3,4.6,Yes
102,30,Male,Kara,Secondary,9.0,15.94,43.01,32.89,2,9.7,No
103,19,Female,Dapaong,Primary,13.13,31.61,50.59,9.97,4,2.7,Yes
104,17,Male,Kara,Higher,13.54,27.59,42.29,9.08,3,5.5,No
105,21,Female,Lome,Higher,10.62,30.48,44.14,0.12,3,2.5,Yes
106,30,Female,Tsevie,Primary,17.81,21.96,60.33,12.01,5,3.4,Yes
107,23,Male,Sokode,Secondary,6.76,16.23,83.67,0.57,2,5.7,Yes
108,25,Female,Lome,Primary,12.17,11.01,54.66,2.05,4,2.6,No
109,31,Female,Tsevie,Secondary,11.34,2.31,63.54,1.04,1,2.0,No
110,31,Female,Sokode,Higher,10.35,20.02,63.63,4.75,4,8.6,No
111,26,Male,Notse,Primary,9.91,20.85,75.42,15.88,2,4.3,Yes
112,29,Female,Atakpame,Higher,11.98,11.5,93.58,12.29,2,7.4,Yes
113,23,Female,Dapaong,Secondary,11.32,21.14,98.99,1.13,2,5.3,Yes
114,33,Female,Tsevie,Primary,10.82,11.68,76.28,16.02,1,7.7,No
115,20,Female,Atakpame,Higher,8.1,23.67,70.3,6.18,3,3.4,Yes
116,21,Female,Lome,Secondary,7.15,6.18,80.91,0.33,3,1.9,Yes
117,23,Male,Notse,Secondary,11.13,4.45,80.08,2.53,2,5.7,No
118,29,Male,Dapaong,Secondary,10.79,12.59,71.44,15.38,4,6.7,No
119,31,Female,Tsevie,Primary,11.41,23.29,84.22,13.22,5,9.5,No
120,27,Female,Notse,Primary,11.67,3.41,69.48,2.09,3,8.0,No
121,20,Male,Lome,Higher,10.43,25.5,99.79,0.39,3,8.9,Yes
122,29,Female,Dapaong,Secondary,11.36,0.0,42.94,3.5,3,7.6,No
123,23,Female,Dapaong,Higher,9.44,12.53,66.59,15.84,2,10.0,No
124,18,Female,Lome,Primary,16.57,0.87,63.82,27.87,1,7.7,No
125,26,Female,Lome,Secondary,9.6,0.0,86.22,8.51,7,6.9,Yes
126,29,Female,Notse,Higher,10.89,18.66,51.45,0.96,4,3.9,Yes
127,22,Female,Notse,Primary,9.83,13.22,66.04,6.97,1,3.2,Yes
128,28,Female,Tsevie,Primary,9.78,1.03,81.88,67.18,4,3.5,Yes
129,28,Female,Dapaong,Secondary,12.07,9.83,76.19,27.91,5,1.2,Yes
130,27,Male,Tsevie,Primary,11.69,19.42,72.71,49.92,5,3.1,Yes
131,23,Male,Notse,Primary,10.62,11.32,66.1,12.02,1,3.6,Yes
132,17,Female,Dapaong,Higher,11.15,13.01,85.12,5.55,3,1.8,No
133,17,Female,Tsevie,Higher,9.84,11.02,78.79,22.36,2,1.1,Yes
134,29,Female,Lome,Secondary,13.21,9.18,92.48,22.56,1,5.5,No
135,25,Female,Lome,Secondary,18.17,9.05,83.98,1.56,3,2.6,Yes
136,19,Male,Kara,Higher,9.38,8.75,48.42,14.93,4,3.1,Yes
137,23,Male,Notse,Secondary,13.18,7.47,77.17,25.17,5,9.8,No
138,22,Male,Tsevie,None,12.13,4.83,42.67,22.88,3,2.3,Yes
139,24,Male,Kara,Primary,14.01,11.2,63.24,12.27,4,1.4,Yes
140,25,Female,Kara,None,14.09,8.6,64.72,7.71,4,8.4,No
141,21,Female,Atakpame,None,12.62,4.28,91.29,14.99,4,3.4,Yes
142,17,Female,Dapaong,Primary,11.88,22.66,50.82,7.26,2,5.5,No
143,26,Male,Sokode,Primary,10.7,27.33,78.61,3.87,6,8.5,Yes
144,28,Female,Atakpame,Primary,9.71,15.0,51.54,3.0,1,5.6,Yes
145,31,Female,Notse,None,11.71,15.66,96.92,7.78,3,9.0,No
146,25,Male,Dapaong,Secondary,8.15,8.07,71.77,6.09,2,7.0,Yes
147,33,Male,Sokode,Primary,10.22,25.67,82.49,7.43,3,6.5,No
148,33,Male,Kara,Secondary,15.32,32.38,78.79,3.02,2,7.8,Yes
149,28,Male,Sokode,None,12.3,13.36,58.22,8.93,3,3.0,No
150,23,Male,Lome,Higher,14.68,9.79,94.07,10.85,2,2.5,Yes
151,18,Female,Notse,Higher,16.41,18.41,77.63,16.44,5,8.6,No
152,19,Female,Lome,Secondary,11.47,16.29,70.62,8.92,2,9.1,No
153,33,Male,Tsevie,Secondary,12.62,10.0,71.7,14.11,4,2.4,No
154,21,Female,Dapaong,Higher,11.09,19.71,93.44,1.86,3,5.8,No
155,33,Female,Atakpame,Primary,9.56,24.38,43.55,1.29,1,2.5,Yes
156,33,Female,Notse,Higher,9.14,7.14,63.34,1.98,5,1.3,No
157,33,Female,Kara,Secondary,14.53,40.42,90.5,18.73,2,5.5,Yes
158,18,Male,Notse,Secondary,12.63,0.0,42.25,8.12,1,6.4,Yes
159,18,Female,Dapaong,Primary,17.54,6.48,78.35,6.08,5,5.2,No
160,21,Female,Kara,Secondary,14.92,17.34,64.2,14.36,2,8.0,No
161,17,Female,Lome,Secondary,9.81,37.47,52.28,1.32,3,3.1,Yes
162,17,Male,Notse,Secondary,14.52,9.37,76.68,0.06,2,9.3,No
163,18,Female,Atakpame,Secondary,11.08,4.34,89.86,3.72,2,6.1,No
164,28,Male,Atakpame,None,15.65,20.49,68.04,2.86,1,5.8,No
165,22,Male,Lome,Primary,10.54,12.51,48.8,3.67,4,5.1,Yes
166,20,Male,Sokode,Secondary,8.84,21.65,58.37,36.33,3,2.9,Yes
167,27,Male,Atakpame,Primary,9.61,14.29,98.88,8.39,1,3.5,Yes
168,33,Female,Sokode,Primary,9.77,6.43,46.67,8.89,2,6.0,No
169,22,Male,Kara,Primary,9.48,38.49,49.64,10.66,4,7.7,Yes
170,21,Male,Atakpame,Primary,10.28,0.0,99.41,5.07,4,2.3,Yes
171,18,Male,Tsevie,Secondary,14.57,33.2,92.93,38.62,1,5.7,No
172,22,Male,Lome,None,17.39,24.33,82.43,36.22,7,1.3,No
173,27,Male,Notse,Higher,8.01,7.54,49.06,14.66,4,2.6,Yes
174,32,Female,Sokode,Secondary,15.79,33.72,54.43,2.38,0,8.2,No
175,32,Male,Tsevie,Secondary,10.57,1.29,50.81,21.22,7,3.5,Yes
176,17,Female,Kara,Primary,13.04,25.08,77.86,1.06,4,3.5,Yes
177,25,Female,Kara,Secondary,7.04,0.0,63.93,9.94,4,5.8,No
178,22,Male,Atakpame,Secondary,13.57,3.54,42.87,6.11,3,4.3,Yes
179,32,Female,Atakpame,Higher,5.98,3.52,57.48,0.4,7,8.6,Yes
180,19,Female,Tsevie,Secondary,12.94,7.49,91.64,23.42,3,5.1,No
181,20,Female,Dapaong,Secondary,12.77,15.12,87.76,32.47,5,8.7,No
182,19,Male,Dapaong,Higher,12.57,6.74,78.58,23.79,6,1.1,Yes
183,23,Male,Atakpame,Primary,9.8,0.0,45.13,2.14,2,8.3,No
184,25,Male,Dapaong,None,13.65,19.63,92.97,4.05,6,1.3,Yes
185,17,Male,Lome,Secondary,13.17,15.49,72.07,31.18,4,8.8,No
186,24,Male,Tsevie,None,11.37,19.09,69.67,1.13,5,9.6,No
187,23,Male,Lome,Primary,14.02,16.72,96.04,8.75,1,9.0,No
188,34,Male,Dapaong,Secondary,11.71,24.54,40.53,6.65,2,9.0,No
189,24,Female,Atakpame,Primary,13.59,14.25,73.35,1.65,1,6.0,No
190,17,Female,Lome,Secondary,11.62,25.13,87.47,21.77,3,9.5,No
191,27,Male,Kara,Higher,12.65,7.24,43.82,1.44,0,2.1,Yes
192,34,Female,Notse,Primary,13.72,7.81,61.43,8.98,3,2.0,No
193,26,Male,Atakpame,Primary,10.81,28.76,98.65,3.83,3,3.5,Yes
194,19,Male,Tsevie,Primary,8.3,28.56,52.71,5.41,4,5.9,Yes
195,23,Male,Sokode,Primary,12.83,20.74,71.87,2.37,2,2.5,Yes
196,32,Female,Sokode,None,15.57,6.11,84.76,9.8,4,8.9,No
197,32,Male,Atakpame,None,12.9,5.3,63.42,44.81,3,3.3,Yes
198,33,Male,Dapaong,Secondary,12.95,28.28,64.47,17.93,3,9.2,Yes
199,18,Male,Lome,Primary,11.87,27.73,43.8,11.5,5,3.6,Yes
200,17,Male,Lome,Secondary,14.22,14.36,51.41,14.12,1,2.2,Yes
201,32,Female,Atakpame,Higher,11.44,38.42,92.84,18.28,6,7.7,Yes
202,28,Male,Kara,Secondary,10.64,19.59,89.1,6.4,6,1.5,Yes
203,21,Female,Tsevie,Secondary,15.32,3.93,58.28,8.37,7,8.0,No
204,21,Female,Dapaong,Primary,10.41,12.24,62.9,22.58,3,9.4,No
205,25,Male,Kara,Secondary,14.67,15.05,66.42,11.91,0,3.1,Yes
206,25,Male,Atakpame,Primary,15.32,15.86,60.76,1.46,4,8.3,No
207,19,Female,Atakpame,None,13.7,27.5,79.23,15.12,4,9.3,Yes
208,32,Female,Kara,Higher,8.25,5.44,40.77,0.23,1,3.9,Yes
209,32,Female,Sokode,Primary,12.08,1.68,92.81,18.81,3,8.0,No
210,19,Female,Atakpame,Primary,11.39,21.02,58.04,15.53,5,1.9,No
211,17,Male,Tsevie,Higher,10.51,9.93,92.34,17.76,5,8.8,No
212,27,Female,Notse,Higher,12.43,39.24,67.26,0.24,4,5.2,Yes
213,33,Female,Dapaong,Primary,14.31,24.43,86.58,35.92,2,3.2,Yes
214,24,Female,Kara,Primary,10.62,9.75,89.55,9.52,2,5.7,No
215,20,Female,Sokode,Secondary,11.49,27.13,58.08,16.1,3,3.3,Yes
216,22,Male,Kara,Secondary,11.28,22.3,78.42,8.36,2,8.2,No
217,24,Male,Sokode,None,15.49,21.34,76.44,4.15,4,3.9,Yes
218,19,Male,Sokode,Secondary,11.23,13.78,68.56,3.51,3,1.7,No
219,32,Female,Tsevie,Higher,8.3,19.2,68.17,0.72,3,1.3,Yes
220,19,Female,Dapaong,Primary,7.28,0.0,58.31,7.82,3,3.3,Yes
221,34,Male,Atakpame,Higher,13.09,28.17,58.61,1.55,5,5.8,No
222,30,Male,Sokode,Higher,9.72,0.0,72.89,8.38,1,6.7,Yes
223,34,Female,Atakpame,Primary,14.01,10.58,41.94,9.81,0,5.6,No
224,18,Male,Dapaong,Secondary,8.01,0.0,96.02,5.84,4,7.3,No
225,19,Female,Atakpame,Primary,10.38,9.99,79.0,1.7,3,7.1,No
226,32,Female,Tsevie,Secondary,8.01,14.26,66.61,5.67,4,6.2,Yes
227,25,Female,Tsevie,Secondary,13.3,3.03,43.71,21.09,2,7.1,No
228,20,Female,Lome,Primary,13.95,0.0,77.8,6.13,6,8.8,No
229,17,Female,Tsevie,Secondary,13.02,17.07,41.06,4.2,0,1.4,Yes
230,20,Female,Sokode,Higher,8.74,35.86,80.79,9.94,2,8.5,Yes
231,17,Male,Dapaong,Primary,9.76,11.49,44.35,9.65,2,4.2,Yes
232,30,Male,Tsevie,Primary,12.7,24.59,79.37,0.95,7,3.7,No
233,32,Male,Kara,None,6.94,30.04,64.35,2.7,4,8.8,Yes
234,24,Female,Dapaong,Secondary,11.28,0.0,79.76,6.82,2,6.5,No
235,23,Male,Sokode,Higher,16.55,10.43,48.31,4.56,3,1.5,Yes
236,19,Female,Dapaong,Higher,11.46,2.24,47.04,3.86,1,2.7,Yes
237,33,Female,Tsevie,Secondary,7.53,6.94,54.85,5.9,3,9.4,Yes
238,17,Female,Kara,Secondary,10.18,32.02,64.69,3.43,3,4.7,Yes
239,32,Female,Lome,Primary,10.11,17.24,55.18,4.27,0,3.5,Yes
240,28,Male,Sokode,Primary,18.42,22.89,44.92,14.86,3,2.8,Yes
241,30,Male,Notse,Secondary,17.0,14.56,59.5,7.14,1,6.0,No
242,22,Male,Sokode,Secondary,14.19,2.89,82.35,20.62,3,9.7,No
243,22,Female,Dapaong,Secondary,10.97,21.78,74.99,29.67,2,2.2,Yes
244,29,Male,Notse,Higher,15.6,27.53,97.8,25.52,2,3.2,Yes
245,24,Male,Notse,Secondary,8.6,18.17,66.16,2.93,2,5.5,Yes
246,18,Male,Atakpame,Secondary,15.23,19.89,59.97,6.4,3,2.9,Yes
247,17,Female,Notse,Primary,14.78,2.65,81.62,7.66,2,10.0,No
248,31,Male,Atakpame,Higher,11.55,22.07,64.72,19.12,4,4.7,Yes
249,17,Female,Notse,Secondary,15.42,28.46,77.1,8.19,4,5.0,No
250,21,Male,Kara,Higher,10.66,19.05,96.78,2.91,5,3.0,Yes
251,32,Female,Lome,Secondary,8.2,0.0,69.95,7.93,5,8.2,No
252,20,Male,Lome,Secondary,14.93,31.36,69.89,0.45,2,5.2,Yes
253,19,Male,Notse,Secondary,11.74,5.55,86.51,17.97,4,6.8,No
254,33,Male,Dapaong,Primary,13.81,18.88,85.36,8.35,3,2.6,No
255,33,Female,Dapaong,Secondary,17.46,24.53,70.97,10.55,3,2.2,Yes
256,28,Male,Atakpame,Higher,9.83,25.8,43.88,2.24,4,6.0,Yes
257,30,Male,Tsevie,Primary,11.57,0.0,98.85,8.17,3,2.6,Yes
258,22,Female,Lome,None,16.71,16.17,62.64,7.56,3,5.6,No
259,19,Female,Tsevie,Secondary,14.01,15.51,59.0,9.67,2,10.0,No
260,25,Female,Lome,Primary,9.9,29.39,98.89,18.8,0,5.0,Yes
261,21,Female,Tsevie,Secondary,9.13,19.59,92.33,14.46,3,1.2,Yes
262,33,Male,Tsevie,Secondary,10.42,29.48,59.81,7.92,3,6.7,No
263,30,Male,Lome,Primary,9.78,20.4,58.5,22.39,1,3.3,No
264,19,Female,Kara,Higher,12.71,14.26,83.26,4.44,2,9.5,No
265,17,Male,Kara,Secondary,12.24,16.94,60.06,6.78,5,3.1,Yes
266,17,Female,Dapaong,Higher,12.84,30.24,55.09,10.48,1,9.4,Yes
267,19,Male,Tsevie,Secondary,9.48,2.03,98.78,5.81,5,1.2,Yes
268,34,Female,Tsevie,Higher,11.79,24.06,73.94,4.49,1,9.8,No
269,26,Male,Tsevie,None,5.83,8.72,85.75,1.19,1,3.5,Yes
270,19,Female,Tsevie,Primary,12.44,6.58,82.78,10.1,5,8.0,No
271,24,Female,Tsevie,None,15.53,25.23,85.33,2.14,3,5.2,No
272,30,Male,Atakpame,Secondary,7.73,6.17,94.2,1.49,1,4.3,Yes
273,34,Male,Sokode,Higher,13.45,18.77,70.05,2.01,6,9.6,No
274,31,Male,Tsevie,Secondary,10.17,10.11,85.2,11.66,0,9.5,No
275,18,Female,Atakpame,Higher,14.41,0.0,87.81,1.49,3,6.4,No
276,26,Male,Kara,Primary,12.48,19.78,96.78,37.4,3,9.5,No
277,18,Female,Tsevie,Primary,13.21,16.26,82.79,14.21,5,8.1,No
278,33,Male,Kara,Higher,12.19,0.0,93.56,4.99,3,4.3,No
279,24,Male,Dapaong,Secondary,15.98,8.01,45.7,9.0,2,9.1,No
280,17,Female,Sokode,Secondary,13.04,0.0,47.57,0.08,6,4.2,No
281,25,Female,Lome,Primary,9.88,22.32,49.5,18.61,3,9.5,No
282,27,Male,Sokode,Higher,12.3,28.88,48.69,3.16,1,5.6,No
283,32,Female,Tsevie,Secondary,10.89,23.49,45.25,0.75,2,7.6,Yes
284,23,Female,Tsevie,Secondary,12.49,24.89,47.35,14.19,3,6.7,No
285,26,Male,Sokode,None,10.74,9.82,99.75,4.0,4,7.6,No
286,19,Female,Sokode,Secondary,9.97,20.47,56.33,8.38,2,2.6,Yes
287,34,Male,Dapaong,Higher,12.6,14.91,68.68,18.58,3,9.0,No
288,29,Male,Notse,Higher,12.17,16.85,89.3,14.96,1,8.4,No
289,23,Female,Kara,None,15.19,24.57,47.1,4.11,3,6.7,No
290,20,Male,Lome,Primary,10.76,26.75,59.04,20.3,1,2.9,Yes
291,29,Female,Notse,Secondary,6.06,11.1,49.56,4.92,0,6.2,No
292,17,Male,Sokode,Primary,10.91,0.92,43.75,6.93,2,4.9,No
293,24,Female,Lome,Secondary,7.12,13.13,97.65,9.48,2,1.2,Yes
294,30,Female,Sokode,Primary,13.25,12.81,91.5,0.74,2,9.3,No
295,32,Female,Kara,Primary,6.98,17.85,92.76,9.09,7,7.9,Yes
296,30,Female,Lome,Secondary,9.03,23.33,92.12,8.61,2,9.1,No
297,28,Female,Notse,Secondary,10.91,0.0,49.27,20.67,0,6.4,No
298,31,Male,Atakpame,Secondary,16.63,8.29,87.1,4.36,4,4.0,Yes
299,18,Male,Kara,Higher,8.78,5.36,83.67,2.77,4,5.0,Yes
300,18,Female,Notse,Primary,12.04,27.51,95.52,6.47,2,8.5,No
301,33,Male,Lome,Secondary,13.74,12.92,53.16,11.63,4,2.8,Yes
302,26,Female,Sokode,Primary,16.45,9.87,64.84,8.25,3,2.4,No
303,22,Female,Notse,Secondary,14.33,20.38,57.7,1.49,4,1.9,Yes
304,31,Male,Sokode,None,15.28,9.07,55.48,4.28,3,1.9,No
305,27,Male,Kara,Primary,14.59,14.85,79.14,0.66,2,5.4,No
306,21,Female,Kara,Primary,8.37,33.14,49.84,13.44,5,7.6,No
307,17,Female,Notse,Primary,13.08,32.86,67.89,21.45,3,9.0,Yes
308,24,Female,Sokode,Higher,14.55,10.93,78.8,0.47,6,6.1,No
309,28,Female,Lome,Secondary,9.13,13.18,47.82,7.45,1,5.5,Yes
310,28,Female,Notse,Higher,10.26,8.81,55.42,8.35,4,4.5,No
311,21,Female,Atakpame,Secondary,9.59,0.0,98.04,5.78,1,3.7,Yes
312,23,Male,Dapaong,Primary,14.32,25.36,87.73,6.99,3,1.3,Yes
313,20,Female,Kara,Primary,11.79,39.21,80.62,12.39,3,7.6,Yes
314,22,Female,Sokode,Primary,11.04,10.57,91.36,6.61,2,1.6,No
315,29,Male,Lome,Primary,8.15,6.83,40.84,25.21,4,7.8,No
316,31,Female,Kara,Secondary,11.8,12.27,40.36,7.78,4,7.4,No
317,19,Female,Lome,Secondary,10.3,15.85,49.24,0.75,3,9.9,No
318,24,Male,Kara,Primary,12.73,3.64,69.72,30.65,2,1.2,Yes
319,32,Female,Sokode,Primary,8.57,10.42,74.2,1.59,5,3.2,No
320,29,Male,Lome,None,12.53,25.15,46.82,15.35,3,1.7,No
321,34,Female,Sokode,Primary,10.68,16.27,44.34,7.48,4,9.4,No
322,26,Male,Lome,Primary,8.25,27.7,89.7,13.51,3,5.6,No
323,33,Male,Kara,Secondary,8.02,18.65,67.87,7.2,3,9.6,Yes
324,21,Male,Dapaong,Primary,8.47,4.11,99.55,0.61,4,2.4,Yes
325,25,Female,Dapaong,Secondary,11.38,9.24,53.76,4.7,2,4.0,Yes
326,28,Female,Notse,Primary,12.36,17.48,78.83,9.69,2,6.8,No
327,17,Male,Atakpame,None,12.81,3.77,88.26,9.91,0,3.5,Yes
328,17,Male,Atakpame,Higher,12.92,2.48,92.36,36.14,2,9.3,No
329,31,Female,Notse,Secondary,9.72,3.08,58.38,9.32,2,4.9,No
330,18,Female,Notse,Primary,15.18,20.16,51.6,3.37,5,6.5,Yes
331,32,Female,Tsevie,Higher,10.67,11.34,53.57,0.44,4,4.2,Yes
332,24,Female,Sokode,None,13.35,26.82,80.0,15.53,6,2.9,Yes
333,29,Female,Lome,Primary,11.51,6.04,71.34,22.01,3,8.2,Yes
334,17,Male,Atakpame,Secondary,13.13,0.0,75.94,9.51,5,8.1,No
335,32,Female,Kara,Secondary,11.36,13.69,41.23,6.59,2,8.3,No
336,23,Male,Notse,Primary,13.18,31.48,63.46,19.73,5,4.0,Yes
337,21,Female,Dapaong,None,11.98,15.35,58.61,2.75,1,8.7,No
